Date,Open_Interest_All,MM_Net,MM_Long,MM_Short,Prod_Net,MM_Net_pct,Prod_Net_pct,MM_Net_pct_rank
2007-09-04,205006,20072,35174,15102,-115789,9.79,-56.48,100.0
2007-09-11,205561,22351,37806,15455,-117487,10.87,-57.15,100.0
2007-09-18,215529,33386,45287,11901,-130933,15.49,-60.75,100.0
2007-09-25,226842,40444,51071,10627,-140022,17.83,-61.73,100.0
2007-10-02,232612,45479,55253,9774,-142547,19.55,-61.28,100.0
2007-10-09,232745,45917,55771,9854,-140299,19.73,-60.28,100.0
2007-10-16,235532,45395,55016,9621,-140146,19.27,-59.5,71.4
2007-10-23,245742,46536,56963,10427,-145614,18.94,-59.25,62.5
2007-10-30,248750,45207,56028,10821,-141587,18.17,-56.92,55.6
2007-11-06,250060,49725,59983,10258,-145499,19.89,-58.19,100.0
2007-11-13,236528,44294,55074,10780,-151197,18.73,-63.92,54.5
2007-11-20,218535,29372,46534,17162,-129421,13.44,-59.22,25.0
2007-11-27,209170,23360,43560,20200,-121564,11.17,-58.12,23.1
2007-12-04,210401,14472,39553,25081,-113064,6.88,-53.74,7.1
2007-12-11,213025,12298,41152,28854,-113485,5.77,-53.27,6.7
2007-12-18,220048,14785,41541,26756,-116165,6.72,-52.79,12.5
2007-12-24,224449,24605,43281,18676,-135645,10.96,-60.43,35.3
2007-12-31,231807,36347,49218,12871,-152607,15.68,-65.83,55.6
2008-01-08,259197,53765,62782,9017,-175346,20.74,-67.65,100.0
2008-01-15,275922,55341,65444,10103,-186445,20.06,-67.57,95.0
2008-01-22,280898,56796,66005,9209,-188778,20.22,-67.21,95.2
2008-01-29,267384,44571,53751,9180,-174532,16.67,-65.27,50.0
2008-02-05,279027,43819,54674,10855,-178984,15.7,-64.15,47.8
2008-02-12,266923,44377,54554,10177,-173216,16.63,-64.89,50.0
2008-02-19,259289,48788,57566,8778,-182485,18.82,-70.38,68.0
2008-02-26,290439,64535,73431,8896,-204443,22.22,-70.39,100.0
2008-03-04,299206,62429,72564,10135,-192890,20.86,-64.47,96.3
2008-03-11,293606,49462,61565,12103,-167702,16.85,-57.12,50.0
2008-03-18,290193,46790,56029,9239,-152272,16.12,-52.47,41.4
2008-03-25,272330,40888,49460,8572,-146906,15.01,-53.94,30.0
2008-04-01,271427,30881,44534,13653,-128482,11.38,-47.34,25.8
2008-04-08,266878,31760,43505,11745,-127421,11.9,-47.75,28.1
2008-04-15,261891,34409,44565,10156,-136441,13.14,-52.1,30.3
2008-04-22,253186,34601,44655,10054,-134862,13.67,-53.27,35.3
2008-04-29,246090,29348,42233,12885,-126164,11.93,-51.27,28.6
2008-05-06,247979,30227,42689,12462,-119947,12.19,-48.37,30.6
2008-05-13,253305,25013,40183,15170,-116742,9.87,-46.09,13.5
2008-05-20,264285,24132,41442,17310,-117803,9.13,-44.57,10.5
2008-05-27,268743,14103,38617,24514,-104077,5.25,-38.73,2.6
2008-06-03,273104,14060,39522,25462,-91345,5.15,-33.45,2.5
2008-06-10,266100,11281,39736,28455,-96784,4.24,-36.37,2.4
2008-06-17,221739,20060,37168,17108,-106126,9.05,-47.86,16.7
2008-06-24,214012,19811,36334,16523,-109840,9.26,-51.32,20.9
2008-07-01,217590,20153,38209,18056,-109727,9.26,-50.43,22.7
2008-07-08,218245,13666,39302,25636,-99479,6.26,-45.58,11.1
2008-07-15,222265,6963,36572,29609,-99226,3.13,-44.64,2.2
2008-07-22,218566,-270,32747,33017,-89937,-0.12,-41.15,2.1
2008-07-29,220067,1431,33365,31934,-92890,0.65,-42.21,4.2
2008-08-05,217812,-8055,29378,37433,-83060,-3.7,-38.13,2.0
2008-08-12,214066,-9312,29065,38377,-79886,-4.35,-37.32,2.0
2008-08-19,213927,-8843,28673,37516,-77724,-4.13,-36.33,3.9
2008-08-26,215217,-10068,26916,36984,-82304,-4.68,-38.24,1.9
2008-09-02,215379,-7727,27310,35037,-86862,-3.59,-40.33,9.4
2008-09-09,218631,-14039,25977,40016,-75926,-6.42,-34.73,1.9
2008-09-16,215450,-11168,26801,37969,-67223,-5.18,-31.2,3.6
2008-09-23,206277,-10540,26522,37062,-66001,-5.11,-32.0,5.4
2008-09-30,195316,-9264,25418,34682,-62359,-4.74,-31.93,7.0
2008-10-07,185485,-7613,24409,32022,-57644,-4.1,-31.08,13.8
2008-10-14,175560,-4603,23127,27730,-50148,-2.62,-28.56,18.6
2008-10-21,169152,-2134,24565,26699,-45934,-1.26,-27.16,20.0
2008-10-28,171963,-4354,22574,26928,-46509,-2.53,-27.05,19.7
2008-11-04,169015,-1849,22950,24799,-52245,-1.09,-30.91,22.6
2008-11-11,153268,-456,21991,22447,-44480,-0.3,-29.02,23.8
2008-11-18,138808,304,21456,21152,-46237,0.22,-33.31,26.6
2008-11-25,128157,-3320,19108,22428,-42828,-2.59,-33.42,18.5
2008-12-02,126805,1361,19674,18313,-47311,1.07,-37.31,30.3
2008-12-09,130017,1020,18625,17605,-45900,0.78,-35.3,29.9
2008-12-16,127864,3622,19565,15943,-46552,2.83,-36.41,32.4
2008-12-22,124035,3920,19044,15124,-48926,3.16,-39.45,34.8
2008-12-30,125564,4501,19898,15397,-50511,3.58,-40.23,35.7
2009-01-06,130182,6682,19771,13089,-54785,5.13,-42.08,38.0
2009-01-13,129553,5830,19197,13367,-50242,4.5,-38.78,37.5
2009-01-20,130358,3787,17705,13918,-48899,2.91,-37.51,31.5
2009-01-27,131102,7148,18772,11624,-54931,5.45,-41.9,43.2
2009-02-03,128412,5861,18381,12520,-55646,4.56,-43.33,38.7
2009-02-10,123430,2134,18205,16071,-50473,1.73,-40.89,28.9
2009-02-17,117984,-7030,17404,24434,-36722,-5.96,-31.12,2.6
2009-02-24,115564,-10530,17166,27696,-31121,-9.11,-26.93,1.3
2009-03-03,116082,-13532,18160,31692,-27958,-11.66,-24.08,1.3
2009-03-10,121487,-14251,18041,32292,-26346,-11.73,-21.69,1.2
2009-03-17,128065,-13045,19331,32376,-28936,-10.19,-22.59,3.7
2009-03-24,137552,-8137,21564,29701,-37270,-5.92,-27.1,8.5
2009-03-31,140318,-1790,21270,23060,-44381,-1.28,-31.63,24.1
